[12:12:23.197] Running Houdini 19.0.531 with PID 14076
[12:12:23.197] HDA: C:/Users/YingQ/3D/Houdini_libs/YingQ-for-Houdini/otls/Desert_split_and_Scatter.1.0.hda
[12:12:23.198] Operator Type: Sop/Desert_split_and_Scatter::1.0
[12:12:27.764] Setting input 0 to C:/Users/YingQ/Documents/HoudiniProjects/Desert_Project/geo/Desert_Terrain.0.bgeo.sc
[12:12:27.765] Setting parm tilecount to: [4, 4]
[12:12:27.765] Setting parm tilenum to: [14]
[12:12:27.766] Setting parm Seed to: [1.31]
[12:12:27.766] Setting parm scatteralign1_densityscale to: [1.0]
[12:12:27.766] Setting parm attribnoise1_elementsize to: [3.12]
[12:12:27.766] Setting parm scatteralign2_densityscale to: [1.0]
[12:12:27.766] Setting parm scatteralign3_densityscale to: [1.0]
[12:12:27.767] Setting parm heightfield_scatter1_density to: [1.0]
[12:12:27.768] Setting parm attribute_value_replace1_to_0 to: ["StaticMesh'/Game/Megascans/3D_Assets/Icelandic_Jagged_Lava_Outcrop_00/Cliffs_Tweaked_.Cliffs_Tweaked_'"]
[12:12:27.768] Setting parm attribute_value_replace1_to_1 to: ["StaticMesh'/Game/Megascans/3D_Assets/Huge_Icelandic_Lava_Cliff_00/Cliffs02_Tweaked_.Cliffs02_Tweaked_'"]
[12:12:27.769] Setting parm attribrandomize5_strvalue0 to: ["StaticMesh'/Game/Megascans/3D_Assets/Small_Limestone_Rocks_Pack_00/ufilejqva_LOD5_1.ufilejqva_LOD5_1'"]
[12:12:27.770] Setting parm attribrandomize5_strvalue1 to: ["StaticMesh'/Game/Megascans/3D_Assets/Small_Limestone_Rocks_Pack_00/ufilejqva_LOD5_2.ufilejqva_LOD5_2'"]
[12:12:27.770] Setting parm attribrandomize5_strvalue2 to: ["StaticMesh'/Game/Megascans/3D_Assets/Small_Limestone_Rocks_Pack_00/ufilejqva_LOD5_3.ufilejqva_LOD5_3'"]
[12:12:27.770] Setting parm attribrandomize5_strvalue3 to: ["StaticMesh'/Game/Megascans/3D_Assets/Small_Limestone_Rocks_Pack_00/ufilejqva_LOD5_4.ufilejqva_LOD5_4'"]
[12:12:27.770] Setting parm attribrandomize5_strvalue4 to: ["StaticMesh'/Game/Megascans/3D_Assets/Small_Limestone_Rocks_Pack_00/ufilejqva_LOD5_5.ufilejqva_LOD5_5'"]
[12:12:27.771] Setting parm attribrandomize5_strvalue5 to: ["StaticMesh'/Game/Megascans/3D_Assets/Small_Limestone_Rocks_Pack_00/ufilejqva_LOD5_6.ufilejqva_LOD5_6'"]
[12:12:27.771] Setting parm attribrandomize4_strvalue0 to: ["StaticMesh'/Game/Desert_project/Models/Bush_01.Bush_01'"]
[12:12:27.771] Setting parm attribute_value_replace2_to_0 to: ["Blueprint'/Game/Desert_project/Prefab/Portal_2_scene.Portal_2_scene'"]
[12:12:27.771] Setting parm attribute_value_replace2_to_1 to: ["Blueprint'/Game/Desert_project/Prefab/Portal_3_scene.Portal_3_scene'"]
[12:12:27.771] Setting parm attribute_value_replace2_to_2 to: ["Blueprint'/Game/Desert_project/Prefab/Portal_1_scene.Portal_1_scene'"]
[12:12:34.759] PDG_RESULT: 177;-1;C:/Users/YingQ/Documents/HoudiniProjects/Desert_Project/geo/HE_OUT_Split_and_Scatter.0.bgeo.sc;file/geo;0
